,price,propertyType,size,exterior,rooms,bathrooms,province,municipality,distance,status,newDevelopment,floor,district,hasLift,parkingSpace
420,480.0,flat,80.0,True,2,1,Afueras,Las Ventas de Retamosa,45337,good,False,1,desconocido,False,True
421,750.0,flat,89.0,True,2,2,Madrid,Getafe,12878,good,False,2,San Isidro,True,desconocido
422,700.0,flat,55.0,True,1,1,Madrid,Valdemorillo,32004,good,False,1,Valdemorillo pueblo,True,desconocido
423,750.0,flat,90.0,True,3,2,Madrid,Campo Real,28736,good,False,2,desconocido,True,True
424,750.0,flat,48.0,True,2,1,Madrid,Madrid,6832,good,False,2,Fuencarral,True,desconocido
425,625.0,flat,57.0,True,2,1,Madrid,Aranjuez,43647,good,False,bj,Centro,False,desconocido
426,750.0,flat,46.0,True,1,1,Madrid,San Sebastián de los Reyes,16127,good,False,1,Centro Urbano,False,True
427,695.0,flat,59.0,True,1,1,Madrid,Madrid,8595,good,False,4,Villaverde,True,True
428,450.0,flat,40.0,True,1,1,Madrid,Robledo de Chavela,46273,good,False,1,desconocido,False,desconocido
429,720.0,flat,58.0,True,2,1,Madrid,Alcorcón,13451,good,False,bj,Centro,False,desconocido
430,745.0,flat,73.0,True,2,1,Madrid,Alcalá de Henares,28800,good,False,2,Las Sedas - El Olivar,True,True
